USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  44396 22596 ?        Ss   06:03   0:12 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
nicolas+  130703  0.0  0.4 1017556 67456 ?       Sl   16:19   0:00 /home/nicolasmd/.antigravity-server/bin/1.21.9-cc6cd32816d350ee4a1ea2b4694b43f749418957/node /home/nicolasmd/.antigravity-server/bin/1.21.9-cc6cd32816d350ee4a1ea2b4694b43f749418957/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=129713
root      131006  0.0  0.0      0     0 ?        I    16:19   0:00 [kworker/4:2-events]
nicolas+  138987  0.0  0.0 233584  6012 pts/2    Ss+  16:28   0:00 /usr/bin/bash --init-file /home/nicolasmd/.antigravity-server/bin/1.21.9-cc6cd32816d350ee4a1ea2b4694b43f749418957/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
nicolas+  166844  0.0  0.0 233584  5968 pts/3    Ss+  17:06   0:00 /usr/bin/bash --init-file /home/nicolasmd/.antigravity-server/bin/1.21.9-cc6cd32816d350ee4a1ea2b4694b43f749418957/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
root      200214  0.0  0.0      0     0 ?        I    17:52   0:00 [kworker/6:0-events]
root      222967  0.0  0.0      0     0 ?        I    18:25   0:00 [kworker/7:0-events]
root      231169  0.0  0.0      0     0 ?        I    18:40   0:01 [kworker/1:1-events]
root      236511  0.1  0.0      0     0 ?        I    18:48   0:02 [kworker/u32:17-btrfs-endio-meta]
root      237313  0.0  0.0      0     0 ?        I    18:50   0:00 [kworker/0:1-events]
root      238833  0.1  0.0      0     0 ?        I    18:54   0:02 [kworker/u32:0-flush-btrfs-1]
root      238834  0.1  0.0      0     0 ?        I    18:54   0:01 [kworker/u32:1-events_unbound]
root      238954  0.0  0.0      0     0 ?        I    18:54   0:00 [kworker/5:0-events]
root      239338  0.0  0.0      0     0 ?        I    18:55   0:01 [kworker/u32:3-btrfs-endio]
root      239339  0.2  0.0      0     0 ?        I    18:55   0:03 [kworker/u32:4-flush-btrfs-1]
root      239340  0.1  0.0      0     0 ?        I    18:55   0:01 [kworker/u32:5-btrfs-endio-write]
root      239341  0.2  0.0      0     0 ?        I    18:55   0:03 [kworker/u32:6-btrfs-endio-meta]
root      239342  0.1  0.0      0     0 ?        I    18:55   0:02 [kworker/u32:7-btrfs-delayed-meta]
root      239345  0.1  0.0      0     0 ?        I    18:55   0:02 [kworker/u32:11-btrfs-delalloc]
root      239346  0.1  0.0      0     0 ?        I    18:55   0:01 [kworker/u32:12-btrfs-delalloc]
root      239347  0.0  0.0      0     0 ?        I    18:55   0:00 [kworker/u32:13-btrfs-endio-write]
root      240249  0.1  0.0      0     0 ?        I    18:56   0:01 [kworker/u32:14-kvfree_rcu_reclaim]
root      242691  0.0  0.0      0     0 ?        I    18:58   0:00 [kworker/6:2-events]
root      247285  0.1  0.0      0     0 ?        I<   19:03   0:01 [kworker/u33:1-rtw_tx_wq]
root      249793  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/0:0]
root      249797  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/7:2-display_unordered]
root      249803  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/2:1-events]
root      249805  0.2  0.0      0     0 ?        I    19:07   0:01 [kworker/u32:2-btrfs-compressed-write]
root      249853  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/5:1-events]
root      250416  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/1:0-display_unordered]
root      253485  0.3  0.0      0     0 ?        I    19:07   0:01 [kworker/u32:8-btrfs-endio-meta]
root      253486  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/u32:9-btrfs-compressed-write]
root      253860  0.4  0.0      0     0 ?        I    19:07   0:01 [kworker/u32:10-btrfs-endio-meta]
root      253861  0.3  0.0      0     0 ?        I    19:07   0:01 [kworker/u32:15-btrfs-compressed-write]
root      253862  0.3  0.0      0     0 ?        I    19:07   0:01 [kworker/u32:16-btrfs-endio-meta]
root      253863  0.2  0.0      0     0 ?        I    19:07   0:00 [kworker/u32:18-events_unbound]
root      253864  0.2  0.0      0     0 ?        I    19:07   0:01 [kworker/u32:19-btrfs-endio-meta]
root      253905  0.0  0.0      0     0 ?        I    19:07   0:00 [kworker/4:3]
root      254295  0.2  0.0      0     0 ?        I    19:08   0:00 [kworker/u32:20-btrfs-endio-write]
root      254542  0.0  0.0      0     0 ?        I    19:08   0:00 [kworker/3:0-cgroup_free]
root      255113  0.0  0.0      0     0 ?        I<   19:09   0:00 [kworker/u33:2-rtw_tx_wq]
root      256509  0.0  0.0      0     0 ?        I    19:11   0:00 [kworker/u32:21]
root      256665  0.0  0.0 1233844 12104 ?       Sl   19:12   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id bdd31115b5e64094409f088a6b1bd0faa14339d014cd11251ab2817fd10f32a9 -address /run/containerd/containerd.sock
root      256690  0.0  0.2 2084636 36744 ?       Ssl  19:12   0:00 /bin/ollama serve
root      256730  0.0  0.0 1411064 4992 ?        Sl   19:12   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 11434 -container-ip 172.18.0.2 -container-port 11434 -use-listen-fd
root      256737  0.0  0.0 1410808 5028 ?        Sl   19:12   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 11434 -container-ip 172.18.0.2 -container-port 11434 -use-listen-fd
root      256780  0.0  0.0 1233844 11852 ?       Sl   19:12   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d97f5288201c64a97369a9c9409221fd5baf54c27a15587d2d0b530719909cc4 -address /run/containerd/containerd.sock
root      256812  0.1  0.3 1089712 63732 ?       Ssl  19:12   0:00 openclaw
root      256839  0.0  0.0 1337076 4912 ?        Sl   19:12   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 18789 -container-ip 172.18.0.3 -container-port 18789 -use-listen-fd
root      256845  0.0  0.0 1345272 5024 ?        Sl   19:12   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 18789 -container-ip 172.18.0.3 -container-port 18789 -use-listen-fd
root      256868  7.5  1.8 22482324 295068 ?     Sl   19:12   0:15 openclaw-gateway
root      256996  0.0  0.0      0     0 ?        I    19:12   0:00 [kworker/2:2-display_unordered]
nicolas+  257036  0.0  0.0 230356  2364 pts/1    S    19:12   0:00 sleep 300
root      257156  0.0  0.0      0     0 ?        I    19:12   0:00 [kworker/6:1-display_unordered]
nicolas+  257310  0.0  0.0 230356  2360 pts/1    S    19:12   0:00 sleep 300
root      257421  0.0  0.0      0     0 ?        I    19:12   0:00 [kworker/5:2-display_unordered]
root      257720  0.0  0.0      0     0 ?        I    19:13   0:00 [kworker/7:1-display_unordered]
root      257949  0.0  0.0  17208  7888 ?        S    19:13   0:00 systemd-userwork: waiting...
root      258092  0.0  0.0  17208  7888 ?        S    19:14   0:00 systemd-userwork: waiting...
root      258479  0.0  0.0  17208  7888 ?        S    19:14   0:00 systemd-userwork: waiting...
root      258635  0.0  0.0      0     0 ?        I<   19:15   0:00 [kworker/u33:0-rtw_tx_wq]
nicolas+  258851  0.0  0.0 230352  2360 ?        S    19:15   0:00 sleep 10
nicolas+  258903  0.0  0.0 232024  3756 ?        S    19:15   0:00 /bin/bash /home/nicolasmd/.antigravity-server/bin/1.21.9-cc6cd32816d350ee4a1ea2b4694b43f749418957/out/vs/base/node/cpuUsage.sh 129821
nicolas+  258906  0.0  0.0 230352  2228 ?        S    19:15   0:00 sleep 1
nicolas+  258908  0.0  0.0 230352  2228 ?        S    19:15   0:00 sleep 10
nicolas+  258914  0.0  0.0 234988  5228 pts/0    R+   19:15   0:00 ps aux
